"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","epochs","max_vocab_length","loss_function","optimizer","best_epoch","dense_units","dropout_rate","embed_dim","learning_rate","best_val_loss","f1","accuracy","precision","recall","loss","val_loss","val_accuracy","val_precision","val_recall"
"volcanic-sweep-43","finished","-","jacobh0830","","2021-07-12T03:27:11.000Z","670","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","8","0.6","300","0.001","0.4752756953239441","0.8107684747220345","0.7674523939834299","0.7360510832891839","0.9023689877961236","0.5159018039703369","0.4752756953239441","0.7678163051605225","0.764066219329834","0.8375950455665588"
"charmed-sweep-192","finished","-","jacobh0830","","2021-07-13T06:37:26.000Z","575","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.2","300","0.0031622776601683794","0.4674418866634369","0.8104160752026751","0.7731519051842904","0.7523207121731237","0.8782347109698151","0.4593341052532196","0.4674418866634369","0.7733422517776489","0.787291407585144","0.807014524936676"
"polar-sweep-193","finished","-","jacobh0830","","2021-07-13T06:47:02.000Z","547","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.2","300","0.001","0.4661871790885926","0.8103051284115611","0.7776624455055015","0.7659198831121393","0.8601510956141251","0.4612448811531067","0.4661871790885926","0.7722942233085632","0.7744749784469604","0.828265368938446"
"fast-sweep-13","finished","-","jacobh0830","","2021-07-11T22:11:58.000Z","640","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","8","0.2","300","0.001","0.46804508566856384","0.8100198176773683","0.7738501896691641","0.75530719649932","0.8732779543978395","0.4694558084011078","0.46804508566856384","0.7724847793579102","0.76839280128479","0.8408776521682739"
"stellar-sweep-163","finished","-","jacobh0830","","2021-07-13T02:32:14.000Z","518","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","6","64","0.6","300","0.001","0.47269731760025024","0.8098484240917476","0.7762658765357542","0.7628732019823522","0.86298841144498","0.4721103012561798","0.4752722978591919","0.7643864154815674","0.7687692642211914","0.8191084861755371"
"lyric-sweep-73","finished","-","jacobh0830","","2021-07-12T08:52:31.000Z","671","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.2","300","0.001","0.4701057970523834","0.8097660223804678","0.7776624455055015","0.7673521850899743","0.8571428571428571","0.4628653526306152","0.4701057970523834","0.7697218060493469","0.7556499242782593","0.8607463836669922"
"hardy-sweep-133","finished","-","jacobh0830","","2021-07-12T22:26:21.000Z","513","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","64","0.2","300","0.001","0.4675864577293396","0.809718932069915","0.7756430822654613","0.7613400355175631","0.8646634533210269","0.4610835313796997","0.46919044852256775","0.7721036672592163","0.7722026109695435","0.8322390913963318"
"trim-sweep-83","finished","-","jacobh0830","","2021-07-12T10:36:47.000Z","641","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.4","200","0.001","0.4750744998455048","0.8093832333428562","0.7733406307207428","0.7554291470387817","0.8716370970498752","0.4754144251346588","0.4750744998455048","0.7689595818519592","0.7719553709030151","0.8246371746063232"
"floral-sweep-207","finished","-","jacobh0830","","2021-07-13T08:46:48.000Z","554","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","128","0.4","300","0.0031622776601683794","0.4676476120948791","0.809175795431126","0.7728310717723216","0.754478803287412","0.8724233411957748","0.4644815027713776","0.4701954424381256","0.7693406939506531","0.7685436010360718","0.8324118852615356"
"dry-sweep-67","finished","-","jacobh0830","","2021-07-12T07:46:23.000Z","653","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","6","32","0.2","200","0.0031622776601683794","0.4712231755256653","0.8091102165023617","0.7726989638968049","0.7542625808929996","0.8725600793081052","0.463610976934433","0.47153863310813904","0.7710556387901306","0.7789682149887085","0.8165169358253479"
"ruby-sweep-118","finished","-","jacobh0830","","2021-07-12T20:26:13.000Z","513","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","32","0.8","300","0.001","0.4775253832340241","0.8088980694367204","0.7730197973087739","0.7557152188112345","0.8701329778142413","0.5027101635932922","0.4778344631195069","0.765625","0.7841529846191406","0.7933655977249146"
"robust-sweep-12","finished","-","jacobh0830","","2021-07-11T22:01:22.000Z","634","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","8","0.2","300","0.0031622776601683794","0.467527449131012","0.80886804113909","0.7723781304848358","0.753943870014771","0.8724233411957748","0.4668384492397308","0.467527449131012","0.769245445728302","0.7728599309921265","0.8236005306243896"
"royal-sweep-102","finished","-","jacobh0830","","2021-07-12T18:18:37.000Z","507","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.6","300","0.0031622776601683794","0.4715723991394043","0.808690270261692","0.7724913658067074","0.7547097156398104","0.8709875910163061","0.47688671946525574","0.4715723991394043","0.7654344439506531","0.7637171149253845","0.8320663571357727"
"robust-sweep-208","finished","-","jacobh0830","","2021-07-13T08:56:03.000Z","549","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.4","300","0.001","0.4706854820251465","0.8085099514132136","0.7761148961065922","0.7659184047954003","0.8561173213003794","0.46546459197998047","0.4706854820251465","0.7715319991111755","0.7848739624023438","0.8068417310714722"
"azure-sweep-72","finished","-","jacobh0830","","2021-07-12T08:41:16.000Z","674","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.2","300","0.0031622776601683794","0.4662978351116181","0.8080201627791245","0.7743031309566497","0.7617130750605327","0.860322018254538","0.4598684012889862","0.4662978351116181","0.7722942233085632","0.7743862867355347","0.8284381628036499"
"curious-sweep-132","finished","-","jacobh0830","","2021-07-12T22:17:44.000Z","516","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.2","300","0.0031622776601683794","0.4693048894405365","0.8079915536424918","0.776907543359692","0.769744986382768","0.850237582470174","0.4637419581413269","0.4693048894405365","0.7709603905677795","0.7720257043838501","0.8296475410461426"
"silver-sweep-182","finished","-","jacobh0830","","2021-07-13T05:13:51.000Z","478","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","128","0.2","100","0.0031622776601683794","0.4740830957889557","0.8079746145709799","0.7738690622228094","0.7605370342434756","0.8617235839059242","0.4686230421066284","0.4768513143062592","0.7674351930618286","0.7653400897979736","0.833966851234436"
"confused-sweep-68","finished","-","jacobh0830","","2021-07-12T07:57:18.000Z","647","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.2","200","0.001","0.4725749790668487","0.8079451042152119","0.7744541113858117","0.7623582216291623","0.8593306669401429","0.4695731997489929","0.4725749790668487","0.7687690258026123","0.7801300287246704","0.8085694313049316"
"dutiful-sweep-103","finished","-","jacobh0830","","2021-07-12T18:27:05.000Z","501","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","32","0.6","300","0.001","0.47374171018600464","0.8076978268148408","0.7723781304848358","0.7568577063288113","0.8658599118039175","0.4785849452018738","0.4786757826805115","0.7633383870124817","0.736540675163269","0.888735294342041"
"stellar-sweep-218","finished","-","jacobh0830","","2021-07-13T10:21:11.000Z","518","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","128","0.6","200","0.001","0.47352898120880127","0.8075578890254216","0.7724158755921263","0.7573181682131098","0.8649369295456876","0.4753136038780213","0.4739043414592743","0.7666730284690857","0.7543806433677673","0.8553904891014099"
"dauntless-sweep-162","finished","-","jacobh0830","","2021-07-13T02:23:38.000Z","515","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.6","300","0.0031622776601683794","0.46887364983558655","0.8075254651200153","0.7739068073300999","0.7617993876746795","0.8590913752435647","0.4712066054344177","0.46887364983558655","0.7709603905677795","0.761838436126709","0.8505528569221497"
"treasured-sweep-128","finished","-","jacobh0830","","2021-07-12T21:45:05.000Z","476","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.2","200","0.001","0.4723406434059143","0.807177341486965","0.7738690622228094","0.7625809590415665","0.8573137797832701","0.46955716609954834","0.4723406434059143","0.7714367508888245","0.7574836611747742","0.861264705657959"
"charmed-sweep-143","finished","-","jacobh0830","","2021-07-12T23:47:37.000Z","538","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.4","200","0.001","0.4723379611968994","0.8069762189022619","0.7742087681884235","0.7641235601454368","0.8549208628174888","0.47342681884765625","0.4723379611968994","0.7687690258026123","0.7784590125083923","0.8116793632507324"
"youthful-sweep-58","finished","-","jacobh0830","","2021-07-12T06:10:05.000Z","668","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","8","0.8","300","0.001","0.5021950602531433","0.806964098033541","0.7608281276539528","0.727759767020166","0.9055139643797218","0.5777444243431091","0.5138232707977295","0.7624809741973877","0.7457854747772217","0.8636834621429443"
"amber-sweep-112","finished","-","jacobh0830","","2021-07-12T19:37:12.000Z","471","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","32","0.8","200","0.0031622776601683794","0.48230037093162537","0.8068695013517104","0.7667541094985563","0.7431491076568797","0.8825419615082214","0.5097615718841553","0.4904192090034485","0.7571455836296082","0.7306651473045349","0.8863165378570557"
"atomic-sweep-89","finished","-","jacobh0830","","2021-07-12T16:37:57.000Z","487","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.4","300","0.00031622776601683794","0.4834105670452118","0.8068309070548711","0.765602883726197","0.7401763547641469","0.8866782894062147","0.48839959502220154","0.4834105670452118","0.7612423896789551","0.7651907205581665","0.8180719017982483"
"fluent-sweep-78","finished","-","jacobh0830","","2021-07-12T09:46:17.000Z","585","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.4","100","0.001","0.48109170794487","0.8065484139577997","0.767622246966237","0.7462495639027794","0.8774484668239155","0.4865555167198181","0.48109170794487","0.7646722793579102","0.7524345517158508","0.8543538451194763"
