user_name,rating,review,date,restaurant
cmmolthr,50.0,"in-n-out rocks, fries are awesome, I've been known to order an extra order of fries with my meal...two orders of addictingly-good fries
....the quality of the beef they use is top notch!",November 2019,In-N-Out Burger
bob t,40.0,"just flew in from Orlando and have heard a great deal about these burgers.   Ordered take out for the four of us.  The burgers and fries were done as ordered,  with one person being gluten free.   They were very accommodating. 

The food was good, for...me not spectacular,  but I just wanted a burger and I got that.  Very friendly staff and quick to put the food together even though they were very busy.More",June 2019,In-N-Out Burger
rochellew,20.0,"We've been waiting to see what all the hoopla is about.  Very disappointed, dry french fries and the hamburgers were....horrible.",March 2019,In-N-Out Burger
879brendas,40.0,I so couldn’t wait to have my husband who is from New York try one of these burgers. He liked it so much made the animal way he wanted to stop and get another on the way home. I had to get a T-shirt to...show all my Wisconsin friends. We also got the fries animal way always good. The staff always friendly and the restaurant very clean. A must go to when your in California.More,March 2019,In-N-Out Burger
emilyannegenova,40.0,I was told this is the hot spot for the West coast. it was decent. Burger is very small with a lot of toppings on it. Fries were decent. I didnt see the hype really into it for me.,February 2019,In-N-Out Burger
travelswithdanielle,40.0,"We were told this was THE place to get a burger on the west coast. Definitely a good burger, but I wasn't super amazed with the hype.",August 2018,In-N-Out Burger
933lelandt,50.0,You never go wrong with In-N-Out double double and fries!! Always make it a point to eat there when visiting California. The go to place!!,October 2018,In-N-Out Burger
floridatraveler33,30.0,"The burgers are delicious, and probably the best fast food burger out there. Sorry, I have a hard time giving 5 stars to a burger joint. I mean, they aren’t on the same par as a fine steakhouse, right?",October 2018,In-N-Out Burger
larryrX160DQ,50.0,First time here. Double is great and fresh French fries. Not crispy but good. Limited menu but lunch crowd fills the driveway,September 2018,In-N-Out Burger
briansR9739PB,50.0,In-n-Out Burgers are simply the best.  Perfect every time with fries to match.  I do not bother with any other burger joint.,September 2018,In-N-Out Burger
YukonDiver,50.0,"WE frequently go to In-N-Out when we crave a good burger & this one was no exception 
- Double Doubkes taste taste me as they did 60 yeas ago - The fries are the same - always delicious, always fresh cut.  I have been doing...More",May 2018,In-N-Out Burger
rduinc,50.0,"I don't eat fast food anymore, except for this treat when visiting California.  Burgers and fries are always cooked to perfection, and no matter how crowded the restaurant, food is served fast by friendly, competent staff.  For us, this is a ""must do"" when traveling...More",August 2018,In-N-Out Burger
MatthiasAmmann,50.0,"When in california, MUST go here! simple 3 burgers menu and home made fries, but incredibly fresh and tasty. The double-double is a winner. Also very clean and good service, great value for your money",April 2018,In-N-Out Burger
DeavBBQ,50.0,"Always a great, fast lunch.  Literally in and out.  Single is kore than a meal.  Fries are perfect felt.  Medium drink fine, get a refill on your way out.",April 2018,In-N-Out Burger
Dean A,50.0,This place is famous for their burgers!!!   The price is very reasonable too on their value meals.  It's a must go to if your into hamburgers.,February 2018,In-N-Out Burger
William R,50.0,If you're in the market for the best traditional burger in town this is the place to go. The meat and fries are fresh and delicious but make sure to put salt on the fries because they don.t.,January 2018,In-N-Out Burger
bajapedro,50.0,"Beautifully simple menu. I think that's one of the reasons that they are so successful. The other being their great, fresh burgers. Did you know that a 4x4 is two double doubles put together? Try your double double animal style.",November 2017,In-N-Out Burger
David D,40.0,This In-N-Out Burger location has a very friendly staff. The food is consistent and at a very good price. Two of us can eat for the price of one burger at a higher end restaurant. Before 5 o'clock seems to be good as far as...More,November 2017,In-N-Out Burger
RM T,40.0,"In and Out Burger is a California tradition in our family when ever we visit California. Been going there since the late 70's to various locations in the state. This locations does not disappoint. Great burgers, milk shakes and hand make fries.  Good value for...More",October 2017,In-N-Out Burger
DeavBBQ,40.0,Gotta get a burger anytime in CA.  This location consistently good.  Regular cheeseburger loaded for under $3.  A great snack.,October 2017,In-N-Out Burger
NewNewEnglander,50.0,"We visited here while on vacation and as someone who has had numerous burger joints that are ""fast food"" which I typically hate. This place was great! I compared it to a 5 guys burger without the grease. The place was amazingly fast. The food...More",August 2017,In-N-Out Burger
iluv2eatntravel,50.0,"What else can I say about In-N-Out Burger that's not already said?  Every great thing you hear about them is true. Regarding the 'standard' hamburger (patty, lettuce, tomatoes, onions with cheese as an option, buns), no one gives you the best tasting bang for the...More",September 2017,In-N-Out Burger
NevadaHudson,50.0,"This In-N-Out has food and service Just as good as the rest of In-N-Out's, but the volume of customers is far greater. Sometimes at peak times expect a LONG wait, up to 25 minutes for your food. So this is just not just In-N-Out., but...More",August 2017,In-N-Out Burger
DeEtte D,50.0,"We were visiting so naturally we had to have an In and Out Burger.  We don't have them in Oklahoma--yet.  As always, the food was delicious.  The shakes were great, and the protein burger is the way to go if you're watching your carb count.",June 2017,In-N-Out Burger
RonaldTTakahashi,20.0,"Something wrong with the fries.  Seems to be very dry. Like no potato.  Like fake fries.  Burgers were okay and reasonable.  McDonalds has better fries.  Also, young guy who helped us at the counter.  Made a comment to back staff, that I didn't know what...More",May 2017,In-N-Out Burger
jergmar,50.0,"This location is always busy.  We went through the drive-through this time and all the employees were very friendly, courteous, and responsive.  The burgers were excellent as were the fries.",May 2017,In-N-Out Burger
nadojeff,50.0,"Locals swear by this place that touts never frozen patties and fresh cut fries. Out-of-Towners flock to this place like a tourist attraction.....kind of like we do when we head east and find White Castle. This is no White Castle. The menu is pretty simple,...More",May 2017,In-N-Out Burger
