user_name,rating,review,date,restaurant
ShebaZurich,50.0,"Even though its a burger chain, we had the tastiest and best burhers ever! And for a fair price. Highly recommend it.",September 2019,Super Duper Burgers
NaomiF2901,40.0,"Not too badly priced and the burgers were very well cooked and good quality for fast food. The garlic cheese fries were absolutely delicious, although my mum thought they were too garlicky so they should definitely only be ordered if you like the big garlic...hit like I do.More",March 2020,Super Duper Burgers
X460LOandrewc,50.0,"Excellent service. The Pilsner beer is light and refreshing. Three of us ate with two beers for under $50. 

How people can say this restaurant is slightly above a McDonald’s blows my mind!

The super burger with bacon and cheese was awesome. Fresh patties, toasted...bun and fresh pickles, lettuce and tomato. 

For the price, I was in heaven. 

Will definitely return if we’re in the area.More",March 2020,Super Duper Burgers
monicavernet,30.0,"Definitely this is not my place. I like well done and quality burgers but this place it is more like a fast food chain.

It is true that if you compare it to mcdonalds or something similar, the super duper burger has more quality. They...also claim everything is gmo free and everything is madre freshly every day.

Unfortunately we will not repeat again.More",December 2019,Super Duper Burgers
rstreetpa,20.0,We stopped here while in San Francisco. I think they try to hard to make a fancy burger. Not impressed and won’t be back.,February 2020,Super Duper Burgers
bluestravelerz,50.0,"When u are lonely...you can always go downtown! 

There i said it in my SUPER DUPER burgers TripAdvisor post.

Super Duper gave me some gift cards after I posted on Yelp.

This Super Duper is on Market Street in the Fidi..and you cannot miss it...a skip.

Get a burger, maybe with cheese...get a mini burger..and a shake..or soft serve ice cream..Don't forget..the side pickles for free.

Don't forget to offer GOOD PICKLES!!

This is a San Francisco experience--Super Duper Troopers!More",September 2019,Super Duper Burgers
Hajir S,50.0,"If you want a relatively fast meal, at not too high of a cost, but high quality Super Duper is the way to go. No it's not going to be a gourmet eating experience that you might get from a fancy restaurant, but the burger,...shakes, fries, even salads are way better than so much of the food you're eating in the area, at a much better price. You can add mushroom, jalapenos, avocado and lots of other yummy additions to your burger to make it that much better!

Honestly no reason to get a fast food burger with Super Duper around!More",January 2020,Super Duper Burgers
Denisedib,50.0,"I have never been in this restaurant!
It’s really really delicious!
We chose an especial hamburger and French fries!
It’s exquisite!
I recommend!",February 2020,Super Duper Burgers
karimmaarouf,30.0,"I found this place to be highly rated and was in the area so thought I'd try it out. I had a burger which was just ok. Not bad but not memorable either. I was wondering why this place was highly rated. The place seems...a bit run down on the inside too. It was okay, but I wouldn't go out of my way to come here.More",September 2019,Super Duper Burgers
Thomas V,40.0,"The vegie burger was surprisingly good, tasted very fresh and somewhat healthy.  This is a very casual sort of fast food place with an emphasis on sandwiches.  Lots of people love it.",January 2020,Super Duper Burgers
BaystateJouneyman,30.0,"Super Duper is one of my favorite fast food burgers, but this location isn’t the best. They’ve messed up my order on more than one occasion (to go order instead of a fire here, they forget your drink etc.) and they make you feel like...More",January 2020,Super Duper Burgers
F0RE,50.0,"Had dinner here on our first night in San Francisco. The place was easy to find.
Service was fast and food was delicious. The burgers were juicy and flavorful. Milkshake was spot on. Price was ok for the quality of food.

A good place to...More",December 2019,Super Duper Burgers
Voyager818362,40.0,"When comparing Super Duper to  In n Out I'd say that the beef pattie in Super Duper is the best I've ever tasted.   In n Outs beef pattie is just like the McDonald's pattie - too moreish and just  not as juicy, filling and gobfully...More",December 2019,Super Duper Burgers
Kevan L,30.0,"I wonder how the burgers are.  The breakfast sandwich was okay, but I wanted decaf coffee and it wasn't available.  The atmosphere isn't very inviting and seems a bit like a dive.  The hash brown was nothing special.  Oh well, okay, but I won't go...More",November 2019,Super Duper Burgers
Jennifer P,50.0,We found this Gem by chance and we were not disappointed.  There was a list of daily specials to choose from.  The garlic fries and fresh pickles were great but the fresh doughnuts they were handing out at the register were amazing!  There was plenty...More,November 2019,Super Duper Burgers
magicconnch,40.0,"Super Duper is a gem in the hustle and bustle of the shopping district. Right on Market St., surrounded by national chains, this local chain shines through. I showed up after dark, and the building itself from the outside doesn’t look like much. In fact...More",December 2019,Super Duper Burgers
Tourist35,30.0,"We went as a group for a quick bite after hours. Food preparation is quick, the burger is made to order and condiments can be added. 

The burger itself was very good, fries ok. 
Overall atmosphere ok for a fast food place, not special.",November 2019,Super Duper Burgers
Dave85715,50.0,We wanted a quick bite and this place was perfect. Good quality beef and nice bun. Place was clean and busy. Good burger for the money and fries were spot on crispy and tasty.,October 2019,Super Duper Burgers
Hazj,50.0,This place definitely has the best fresh homemade burgers in San Francisco & the garlic fries are equally as good.,October 2019,Super Duper Burgers
alexo_9407,40.0,"Super Duper Burger is a relaxed dinning experience just past the Westfield Mall. 

After reading various reviews we walked down to Super one evening on our vacation for a casual bit to eat. 

You place your order at the front desk and burgers are cooked...More",September 2019,Super Duper Burgers
rebeccawI3660PA,40.0,Burgers big and juicy. Everything available to put on them ! Homemade pickles especially good and all you can eat . Fries nice and crispy . Pricey but delicious,September 2019,Super Duper Burgers
CinnaPatty,40.0,We walked into this place to take a gander and then walked out because we weren't really looking for a burger to eat but then we stopped short and turned back around and went back in because it smelled soooooo good.  The burger and fries...More,September 2019,Super Duper Burgers
Mark J,40.0,This is as good as they say - absolutely first class burger with great sauce.  Juicy and hot - freshly made.  Love the free pickles.  The only downside to this restaurant is the location.  It's crowded and feels like a very basic fast food joint....More,September 2019,Super Duper Burgers
Sam_geddes,50.0,"For a fast food burger place, this is about as good as it gets! Delicious burgers and fries. We had the chicken sandwich and veggie burger- both really tasty!! Decent price for the bay area.",September 2019,Super Duper Burgers
Val K,50.0,"And the place is getting a face-lift, so a bit nicer than had been due to wear and tear.
Succulent burgers as ever and simple but sufficient service.
Keep it up.",September 2019,Super Duper Burgers
Richard S,40.0,"Great burgers either 4 oz or a double 8 oz. Got the combo with fries and a drink. Burgers are tasty and come with lettuce, tomato, onions and their special sauce. 

Their home made pickles are fantastic.",August 2019,Super Duper Burgers
peterbF6147BG,50.0,This how a burger should taste like. Very loose meat and excellent cooked. Greasy as crazy but all worth it. Serves beer.,August 2019,Super Duper Burgers
stylegurucoach,40.0,"I don’t take beef , so I ordered a veggie patty burger - which was crunchy , crispy & moist. I added avocado and mushrooms so maybe that makes the burger taste good. The bun is tasty and not dry. I Guess their beef burger...More",August 2019,Super Duper Burgers
SkyKing23,30.0,"I had high hopes for this restaurant based on the name, but it was just ok. The burger was decent and made to order - I recommend with the grilled onions to get the grease factor. Skip the milkshake - it was very runny and...More",August 2019,Super Duper Burgers
kendellbrink,50.0,"We are true aficionados of the classic cheese burger and just may have found the best one ever in Super Duper Burger!  Grilled to perfection and topped with their special sauce-or as you like it-these are great!  Plus they are accompanied by piping hot, crispy...More",August 2019,Super Duper Burgers
karen b,40.0,Super friendly service.  Burgers and fries were fab according to my teenage daughters. Im vegetarian and had the super salad with portobello mushrooms...very fresh and tasty. Chocolate shakes a little disappointing but wouldnt stop us visiting again...and again!!,July 2019,Super Duper Burgers
